	model	year	price	transmission	mileage	fuelType	tax	mpg	engineSize	automaker	age
1	 GT86	2016	16000	Manual	24089	Petrol	265	36.2	2	toyota	7
2	 GT86	2017	15995	Manual	18615	Petrol	145	36.2	2	toyota	6
3	 GT86	2015	13998	Manual	27469	Petrol	265	36.2	2	toyota	8
4	 GT86	2017	18998	Manual	14736	Petrol	150	36.2	2	toyota	6
5	 GT86	2017	17498	Manual	36284	Petrol	145	36.2	2	toyota	6
6	 GT86	2017	15998	Manual	26919	Petrol	260	36.2	2	toyota	6
7	 GT86	2017	18522	Manual	10456	Petrol	145	36.2	2	toyota	6
8	 GT86	2017	18995	Manual	12340	Petrol	145	36.2	2	toyota	6
9	 GT86	2020	27998	Manual	516	Petrol	150	33.2	2	toyota	3
10	 GT86	2016	13990	Manual	37999	Petrol	265	36.2	2	toyota	7
11	 GT86	2013	10495	Manual	72000	Petrol	265	36.2	2	toyota	10
12	 GT86	2017	17990	Manual	12597	Petrol	145	36.2	2	toyota	6
13	 GT86	2017	16995	Manual	36100	Petrol	145	36.2	2	toyota	6
14	 GT86	2019	23995	Manual	995	Petrol	145	33.2	2	toyota	4
15	 GT86	2018	18498	Manual	35228	Petrol	145	36.2	2	toyota	5
16	 GT86	2019	23980	Manual	1751	Petrol	145	33.2	2	toyota	4
17	 GT86	2017	17995	Manual	16444	Petrol	265	36.2	2	toyota	6
18	 GT86	2014	12998	Manual	25499	Petrol	260	36.2	2	toyota	9
19	 GT86	2019	23495	Automatic	3934	Petrol	145	32.8	2	toyota	4
20	 GT86	2019	25780	Manual	5123	Petrol	145	33.2	2	toyota	4
21	 GT86	2020	26995	Semi-Auto	1500	Petrol	145	32.8	2	toyota	3
22	 GT86	2019	23998	Semi-Auto	913	Petrol	145	32.8	2	toyota	4
23	 GT86	2019	26995	Manual	2680	Petrol	150	33.2	2	toyota	4
24	 GT86	2017	17000	Manual	14345	Petrol	150	36.2	2	toyota	6
25	 GT86	2018	19995	Manual	15525	Petrol	150	36.2	2	toyota	5
26	 GT86	2020	31000	Manual	3000	Petrol	145	33.2	2	toyota	3
27	 GT86	2016	15995	Semi-Auto	19460	Petrol	200	39.8	2	toyota	7
28	 GT86	2018	18490	Manual	31231	Petrol	150	36.2	2	toyota	5
29	 GT86	2020	24990	Manual	339	Petrol	145	33.2	2	toyota	3
30	 GT86	2015	13981	Manual	30500	Petrol	265	36.2	2	toyota	8
31	 GT86	2015	13991	Manual	38126	Petrol	260	36.2	2	toyota	8
32	 GT86	2019	27060	Automatic	3348	Petrol	145	32.8	2	toyota	4
33	 GT86	2018	20695	Manual	5260	Petrol	145	36.2	2	toyota	5
34	 GT86	2019	25999	Manual	100	Petrol	145	33.2	2	toyota	4
35	 GT86	2013	11575	Manual	50584	Petrol	265	36.2	2	toyota	10
36	 GT86	2017	20995	Manual	6445	Petrol	145	36.2	2	toyota	6
37	 GT86	2014	14999	Manual	18389	Petrol	260	36.2	2	toyota	9
38	 GT86	2019	27000	Semi-Auto	100	Petrol	145	32.8	2	toyota	4
39	 GT86	2016	15000	Manual	28321	Petrol	265	36.2	2	toyota	7
40	 GT86	2019	22200	Semi-Auto	16241	Petrol	145	32.8	2	toyota	4
41	 GT86	2019	24990	Manual	3150	Petrol	145	33.2	2	toyota	4
42	 GT86	2019	25995	Manual	8912	Petrol	145	33.2	2	toyota	4
43	 GT86	2017	19500	Manual	9639	Petrol	260	36.2	2	toyota	6
44	 GT86	2017	18250	Manual	20219	Petrol	145	36.2	2	toyota	6
45	 GT86	2019	23995	Manual	1557	Petrol	150	33.2	2	toyota	4
46	 GT86	2016	17500	Manual	14000	Petrol	260	36.2	2	toyota	7
47	 GT86	2019	23997	Manual	4500	Petrol	145	33.2	2	toyota	4
48	 GT86	2017	17102	Manual	21000	Petrol	260	36.2	2	toyota	6
49	 GT86	2019	24995	Manual	2488	Petrol	145	33.2	2	toyota	4
50	 GT86	2017	19995	Manual	26000	Petrol	145	36.2	2	toyota	6
51	 GT86	2020	29769	Manual	999	Petrol	145	33.2	2	toyota	3
52	 GT86	2019	25850	Manual	4442	Petrol	145	33.2	2	toyota	4
53	 GT86	2014	13495	Manual	24667	Petrol	265	36.2	2	toyota	9
54	 GT86	2017	18495	Semi-Auto	13930	Petrol	150	39.8	2	toyota	6
55	 GT86	2020	25499	Manual	614	Petrol	145	33.2	2	toyota	3
56	 GT86	2017	18621	Manual	18544	Petrol	150	36.2	2	toyota	6
57	 GT86	2019	25121	Manual	7056	Petrol	145	33.2	2	toyota	4
58	 GT86	2017	17500	Manual	11898	Petrol	145	36.2	2	toyota	6
