  model   year   price   transmissionmileage fuelTypetax         mpg    engineSizeautomaker age
 1 GT86      2016 16000Manual         24089Petrol          265      36.2         2toyota         7
 2 GT86      2017 15995Manual         18615Petrol          145      36.2         2toyota         6
 3 GT86      2015 13998Manual         27469Petrol          265      36.2         2toyota         8
 4 GT86      2017 18998Manual         14736Petrol          150      36.2         2toyota         6
 5 GT86      2017 17498Manual         36284Petrol          145      36.2         2toyota         6
 6 GT86      2017 15998Manual         26919Petrol          260      36.2         2toyota         6
 7 GT86      2017 18522Manual         10456Petrol          145      36.2         2toyota         6
 8 GT86      2017 18995Manual         12340Petrol          145      36.2         2toyota         6
 9 GT86      2020 27998Manual            516Petrol         150      33.2         2toyota         3
10 GT86      2016 13990Manual         37999Petrol          265      36.2         2toyota         7
11 GT86      2013 10495Manual         72000Petrol          265      36.2         2toyota        10
12 GT86      2017 17990Manual         12597Petrol          145      36.2         2toyota         6
13 GT86      2017 16995Manual         36100Petrol          145      36.2         2toyota         6
14 GT86      2019 23995Manual            995Petrol         145      33.2         2toyota         4
15 GT86      2018 18498Manual         35228Petrol          145      36.2         2toyota         5
16 GT86      2019 23980Manual           1751Petrol         145      33.2         2toyota         4
17 GT86      2017 17995Manual         16444Petrol          265      36.2         2toyota         6
18 GT86      2014 12998Manual         25499Petrol          260      36.2         2toyota         9
19 GT86      2019 23495Automatic        3934Petrol         145      32.8         2toyota         4
20 GT86      2019 25780Manual           5123Petrol         145      33.2         2toyota         4
21 GT86      2020 26995Semi-Auto        1500Petrol         145      32.8         2toyota         3
22 GT86      2019 23998Semi-Auto         913Petrol         145      32.8         2toyota         4
23 GT86      2019 26995Manual           2680Petrol         150      33.2         2toyota         4
24 GT86      2017 17000Manual         14345Petrol          150      36.2         2toyota         6
25 GT86      2018 19995Manual         15525Petrol          150      36.2         2toyota         5
26 GT86      2020 31000Manual           3000Petrol         145      33.2         2toyota         3
27 GT86      2016 15995Semi-Auto      19460Petrol          200      39.8         2toyota         7
28 GT86      2018 18490Manual         31231Petrol          150      36.2         2toyota         5
29 GT86      2020 24990Manual            339Petrol         145      33.2         2toyota         3
30 GT86      2015 13981Manual         30500Petrol          265      36.2         2toyota         8
31 GT86      2015 13991Manual         38126Petrol          260      36.2         2toyota         8
32 GT86      2019 27060Automatic        3348Petrol         145      32.8         2toyota         4
33 GT86      2018 20695Manual           5260Petrol         145      36.2         2toyota         5
34 GT86      2019 25999Manual            100Petrol         145      33.2         2toyota         4
35 GT86      2013 11575Manual         50584Petrol          265      36.2         2toyota        10
36 GT86      2017 20995Manual           6445Petrol         145      36.2         2toyota         6
37 GT86      2014 14999Manual         18389Petrol          260      36.2         2toyota         9
38 GT86      2019 27000Semi-Auto         100Petrol         145      32.8         2toyota         4
39 GT86      2016 15000Manual         28321Petrol          265      36.2         2toyota         7
40 GT86      2019 22200Semi-Auto      16241Petrol          145      32.8         2toyota         4
41 GT86      2019 24990Manual           3150Petrol         145      33.2         2toyota         4
42 GT86      2019 25995Manual           8912Petrol         145      33.2         2toyota         4
43 GT86      2017 19500Manual           9639Petrol         260      36.2         2toyota         6
44 GT86      2017 18250Manual         20219Petrol          145      36.2         2toyota         6
45 GT86      2019 23995Manual           1557Petrol         150      33.2         2toyota         4
46 GT86      2016 17500Manual         14000Petrol          260      36.2         2toyota         7
47 GT86      2019 23997Manual           4500Petrol         145      33.2         2toyota         4
48 GT86      2017 17102Manual         21000Petrol          260      36.2         2toyota         6
49 GT86      2019 24995Manual           2488Petrol         145      33.2         2toyota         4
50 GT86      2017 19995Manual         26000Petrol          145      36.2         2toyota         6
51 GT86      2020 29769Manual            999Petrol         145      33.2         2toyota         3
52 GT86      2019 25850Manual           4442Petrol         145      33.2         2toyota         4
53 GT86      2014 13495Manual         24667Petrol          265      36.2         2toyota         9
54 GT86      2017 18495Semi-Auto      13930Petrol          150      39.8         2toyota         6
55 GT86      2020 25499Manual            614Petrol         145      33.2         2toyota         3
56 GT86      2017 18621Manual         18544Petrol          150      36.2         2toyota         6
57 GT86      2019 25121Manual           7056Petrol         145      33.2         2toyota         4
58 GT86      2017 17500Manual         11898Petrol          145      36.2         2toyota         6
59 GT86      2013 11599Automatic      28335Petrol          200      39.8         2toyota        10
60 GT86      2017 17249Manual         10089Petrol          145      36.2         2toyota         6
61 GT86      2020 25995Manual           3250Petrol         145      33.2         2toyota         3
62 GT86      2014 13000Manual         39761Petrol          265      36.2         2toyota         9
63 GT86      2017 17250Manual         19420Petrol          145      36.2         2toyota         6
64 GT86      2019 27950Manual            489Petrol         145      33.2         2toyota         4
65 GT86      2020 27995Manual           1055Petrol         145      33.2         2toyota         3
